level,gas,state_name,type,energy_eV,n_collisions
89,"CF4"," NEUTRAL DISS DIPOLE F=0.06902   ELOSS=   14.13   ","inelastic",14.13,0
90,"CF4"," NEUTRAL DISS DIPOLE F=0.03968   ELOSS=   14.38   ","inelastic",14.38,0
91,"CF4"," NEUTRAL DISS DIPOLE F=0.02584   ELOSS=   14.63   ","inelastic",14.63,0
92,"CF4"," NEUTRAL DISS DIPOLE F=0.02071   ELOSS=   14.88   ","inelastic",14.88,0
93,"CF4"," NEUTRAL DISS DIPOLE F=0.03122   ELOSS=   15.13   ","inelastic",15.13,0
94,"CF4"," NEUTRAL DISS DIPOLE F=0.05580   ELOSS=   15.38   ","inelastic",15.38,0
95,"CF4"," NEUTRAL DISS DIPOLE F=0.10187   ELOSS=   15.63   ","inelastic",15.63,0
96,"CF4"," NEUTRAL DISS DIPOLE F=0.09427   ELOSS=   15.88   ","inelastic",15.88,0
97,"CF4"," NEUTRAL DISS DIPOLE F=0.05853   ELOSS=   16.13   ","inelastic",16.13,0
98,"CF4"," NEUTRAL DISS DIPOLE F=0.06002   ELOSS=   16.38   ","inelastic",16.38,0
99,"CF4"," NEUTRAL DISS DIPOLE F=0.05647   ELOSS=   16.63   ","inelastic",16.63,0
100,"CF4"," NEUTRAL DISS DIPOLE F=0.04885   ELOSS=   16.88   ","inelastic",16.88,0
101,"CF4"," NEUTRAL DISS DIPOLE F=0.04036   ELOSS=   17.13   ","inelastic",17.13,0
102,"CF4"," NEUTRAL DISS DIPOLE F=0.03298   ELOSS=   17.38   ","inelastic",17.38,0
103,"CF4"," NEUTRAL DISS DIPOLE F=0.02593   ELOSS=   17.63   ","inelastic",17.63,0
104,"CF4"," NEUTRAL DISS DIPOLE F=0.01802   ELOSS=   17.88   ","inelastic",17.88,0
105,"CF4"," NEUTRAL DISS DIPOLE F=0.01287   ELOSS=   18.13   ","inelastic",18.13,0
106,"CF4"," NEUTRAL DISS DIPOLE F=0.00830   ELOSS=   18.38   ","inelastic",18.38,0
107,"CF4"," NEUTRAL DISS DIPOLE F=0.00698   ELOSS=   18.63   ","inelastic",18.63,0
108,"CF4"," NEUTRAL DISS DIPOLE F=0.00581   ELOSS=   18.88   ","inelastic",18.88,0
109,"CF4"," NEUTRAL DISS DIPOLE F=0.00502   ELOSS=   19.13   ","inelastic",19.13,0
110,"CF4"," NEUTRAL DISS DIPOLE F=0.00398   ELOSS=   19.38   ","inelastic",19.38,0
111,"CF4"," NEUTRAL DISS DIPOLE F=0.00189   ELOSS=   19.63   ","inelastic",19.63,0
